resumption of the session	reanudación del período de sesiones
i declare resumed the session of the european parliament adjourned on friday 17 december 1999 , and i would like	declaro reanudado el período de sesiones del parlamento europeo , interrumpido el viernes 17 de diciembre pasado , y reitero
although , as you will have seen , the dreaded 'millennium bug ' failed to materialise , still the people	como todos han podido comprobar , el gran `` efecto del año 2000 '' no se ha producido . en
you have requested a debate on this subject in the course of the next few days , during this part-session	sus señorías han solicitado un debate sobre el tema para los próximos días , en el curso de este período
in the meantime , i should like to observe a minute ' s silence , as a number of members	a la espera de que se produzca , de acuerdo con muchos colegas que me lo han pedido , pido
please rise , then , for this minute ' s silence .	invito a todos a que nos pongamos de pie para guardar un minuto de silencio .
( the house rose and observed a minute ' s silence )	( el parlamento , de pie , guarda un minuto de silencio )
madam president , on a point of order .	señora presidenta , una cuestión de procedimiento .
you will be aware from the press and television that there have been a number of bomb explosions and killings	sabrá usted por la prensa y la televisión que se han producido una serie de explosiones y asesinatos en sri
one of the people assassinated very recently in sri lanka was mr kumar ponnambalam , who had visited the european	una de las personas que recientemente han asesinado en sri lanka ha sido al sr. kumar ponnambalam , quien hace
would it be appropriate for you , madam president , to write a letter to the sri lankan president expressing	¿sería apropiado que usted , señora presidenta , escribiese una carta al presidente de sri lanka expresando las condolencias del
yes , mr evans , i feel an initiative of the type you have just suggested would be entirely appropriate	sí , señor evans , pienso que una iniciativa como la que usted acaba de sugerir sería muy adecuada .
if the house agrees , i shall do as mr evans has suggested .	si la asamblea está de acuerdo , haré lo que el señor evans acaba de sugerir .
madam president , on a point of order .	señora presidenta , una cuestión de procedimiento .
i would like your advice about rule 143 concerning inadmissibility .	me gustaría que me asesorara sobre el artículo 143 concerniente a la inadmisibilidad .
my question relates to something that will come up on thursday and which i will then raise again .	mi pregunta se refiere a un asunto del que se hablará el jueves , día que en volveré a plantearla
the cunha report on multiannual guidance programmes comes before parliament on thursday and contains a proposal in paragraph 6 that	el informe cunha sobre los programas de dirección plurianual se presenta al parlamento el jueves y contiene una propuesta en
it says that this should be done despite the principle of relative stability .	el informe estipula que se debe aplicarse a pesar del principio de estabilidad relativa .
i believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a	creo que el principio de estabilidad relativa es un principio legal fundamental de las políticas pesqueras comunitarias , por lo
i want to know whether one can raise an objection of that kind to what is merely a report ,	quiero saber si se puede hacer este tipo de objeción a lo que sólo es un informe , no una
that is precisely the time when you may , if you wish , raise this question , i.e . on	su señoría , si así lo desea , podrá plantear esta cuestión en ese momento , es decir , el
madam president , coinciding with this year ' s first part-session of the european parliament , a date has been	señora presidenta , coincidiendo con el primer período parcial de sesiones de este año del parlamento europeo , lamentablemente ,
at the request of a french member , mr zimeray , a petition has already been presented , which many	a petición de un diputado francés , el sr. zimeray , se ha presentado una solicitud , cuyos firmantes han
this is all in accordance with the principles that we have always upheld .	todo ello , de conformidad con los principios que siempre hemos apoyado .
thank you , mr segni , i shall do so gladly .	gracias , señor segni , lo haré de muy buen grado .
indeed , it is quite in keeping with the positions this house has always adopted .	está , sin duda , dentro de la línea de las posiciones que nuestro parlamento siempre ha adoptado .
madam president , i should like to draw your attention to a case in which this parliament has consistently shown	señora presidenta , quisiera llamar la atención de usted acerca de un caso del que se ha ocupado una y
it is the case of alexander nikitin .	es el caso de alexander nikitin .
all of us here are pleased that the courts have acquitted him and made it clear that in russia ,	todos celebramos aquí que el tribunal le haya declarado inocente y que haya puesto de manifiesto que también en rusia
now , however , he is to go before the courts once more because the public prosecutor is appealing .	sin embargo , sucede que va a ser acusado de nuevo , pues el fiscal interpondrá un recurso .
we know , and we have stated as much in very many resolutions indeed , including specifically during the last	sabemos y lo hemos afirmado realmente en muchas resoluciones -precisamente en la última sesión plenaria del año pasado- que éste
these findings form the basis of the european programmes to protect the barents sea , and that is why i	esos resultados constituyen la base de los programas europeos del mar de barent y , por ello , le pido
yes , mrs schroedter , i shall be pleased to look into the facts of this case when i have	sí , señora schroedter , de buena gana voy a examinar los hechos relacionados con este tema en cuanto reciba
madam president , i would firstly like to compliment you on the fact that you have kept your word and	señora presidenta , en primer lugar me gustaría felicitarla por haber cumplido con su promesa ya que efectivamente en este
but , madam president , my personal request has not been met .	sin embargo , señora presidenta , no se ha hecho lo que yo había pedido .
although there are now two finnish channels and one portuguese one , there is still no dutch channel , which	bien es verdad que ahora hay dos canales finlandeses y uno portugués , pero aún no hay ninguno neerlandés y
i would therefore once more ask you to ensure that we get a dutch channel as well .	por lo tanto quisiera pedirle nuevamente que se encargue de que podamos ver también un canal neerlandés .
mrs plooij-van gorsel , i can tell you that this matter is on the agenda for the quaestors ' meeting	señora plooij-van gorsel , puedo decirle que esa cuestión está en el orden del día de la reunión de cuestores
it will , i hope , be examined in a positive light .	espero que se examine con un espíritu positivo .
madam president , can you tell me why this parliament does not adhere to the health and safety legislation that	señora presidenta , ¿podría decirme por qué este parlamento no cumple la legislación de sanidad y seguridad que en realidad
why has no air quality test been done on this particular building since we were elected ?	¿por qué no se ha hecho ninguna prueba de calidad del aire de este edificio desde que hemos sido elegidos
why has there been no health and safety committee meeting since 1998 ?	¿por qué no se ha celebrado ninguna reunión del comité de sanidad y seguridad desde 1998 ?
why has there been no fire drill , either in the brussels parliament buildings or the strasbourg parliament buildings ?	¿por qué no hemos tenido simulacros de incendio ni en los edificios del parlamento de bruselas ni en los del
why are there no fire instructions ?	¿por qué no hay instrucciones en caso de incendio ?
why have the staircases not been improved since my accident ?	¿por qué no se han mejorado las escaleras desde mi accidente ?
why are no-smoking areas not enforced ?	¿por qué no se respetan las áreas de no fumadores ?
it seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves .	es totalmente vergonzoso que aprobemos una legislación y no la cumplamos ni nosotros mismos .
mrs lynne , you are quite right and i shall check whether this has actually not been done .	señora lynne , tiene toda la razón del mundo , y verificaré si estas cosas no se han hecho de
i shall also refer the matter to the college of quaestors , and i am certain that they will be	también someteré el problema a la junta de cuestores , y estoy segura de que los cuestores harán lo debido
madam president , mrs díez gonzález and i had tabled questions on certain opinions of the vice-president , mrs de	sra . presidenta , la sra . díez gonzález y yo mismo habíamos presentado unas preguntas sobre determinadas opiniones ,
the competent services have not included them in the agenda on the grounds that they had been answered in a	los servicios competentes no las han incluido en el orden del día por considerar que ya habían sido contestadas en
i would ask that they reconsider , since this is not the case .	ruego que se reconsidere esta decisión porque esto no es así .
the questions answered previously referred to mrs de palacio ' s intervention , on another occasion , and not to	las preguntas contestadas con anterioridad se referían a la intervención , en determinado expediente , de la sra . de
mr berenguer fuster , we shall check all this .	señoría , vamos a verificar todo esto .
